Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6122364770113067,0.6541333333333333,0.6541969256199741,0.6541333333333333,0.5536015588271467,0.72,0.7212195216799533,0.72
2,0.4428851918148046,0.7976888888888889,0.7977603117685546,0.7976888888888889,0.6047553676593153,0.7044,0.7198640244681046,0.7044
3,0.3408644759329036,0.8607111111111111,0.8607863971370243,0.8607111111111111,0.6244758373197121,0.7252,0.7252282348391872,0.7252
4,0.25847501055316324,0.8964444444444445,0.8964666880331743,0.8964444444444445,0.6929844504670252,0.7136,0.7157576402544824,0.7136
5,0.21089567525566302,0.9214222222222223,0.921430322317314,0.9214222222222223,0.8181555312645586,0.7096,0.7099038935438698,0.7096
6,0.17250584852643608,0.9368888888888889,0.9368915768549846,0.9368888888888889,0.9605892481683176,0.7064,0.7181604002196462,0.7064
7,0.16518558499228675,0.9430222222222222,0.9430222110129243,0.9430222222222222,0.8959277694738363,0.714,0.7144871641583135,0.714
8,0.13517350701096637,0.9544,0.9544002581520811,0.9544,0.9758816719809665,0.7024,0.7039911992012341,0.7024
9,0.12051499644506046,0.9595111111111111,0.9595116489606137,0.9595111111111111,0.9098737307741672,0.7096,0.7097106256941874,0.7096
10,0.10174796537996206,0.9645333333333334,0.9645341625807738,0.9645333333333334,1.14825492003296,0.7064,0.706356158536429,0.7064
