Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.622410240540789,0.6414222222222222,0.6414293282071233,0.6414222222222222,0.5712902760958369,0.6912,0.7098058220773171,0.6912
2,0.44976031030951574,0.7976888888888889,0.7977724802505671,0.7976888888888889,0.6244424724880653,0.7044,0.7220354904020484,0.7044
3,0.3477061576188796,0.8588,0.8588070176000853,0.8588,0.6155723989764347,0.714,0.7183725676252306,0.714
4,0.2694236776548099,0.8951111111111111,0.895118863397416,0.8951111111111111,0.7432114185788964,0.704,0.7057129652682683,0.704
5,0.21195123064204713,0.9219555555555555,0.9219771657670235,0.9219555555555555,0.8411713804625258,0.6908,0.7067896040930235,0.6908
6,0.18828769118673253,0.9324444444444444,0.9324462860857913,0.9324444444444444,0.8429921352410619,0.6956,0.7037551624138748,0.6956
7,0.1576139326551294,0.9456888888888889,0.9456888888888889,0.9456888888888889,0.8728547869603845,0.7048,0.7050425670833665,0.7048
8,0.12867153370726472,0.9580444444444445,0.9580504472187595,0.9580444444444445,0.8791193698025956,0.702,0.7019970772194025,0.702
9,0.12421048344483344,0.9601777777777778,0.96017785609069,0.9601777777777778,1.0055121707765362,0.6972,0.697285205268427,0.6972
10,0.10535378031900935,0.9661333333333333,0.9661334916109892,0.9661333333333333,1.042928172817713,0.7008,0.7011876511144085,0.7008
