Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6283158997751095,0.6384888888888889,0.6385031227019856,0.6384888888888889,0.601332131820389,0.6724,0.7205533534946237,0.6724
2,0.46305952028540726,0.7873333333333333,0.7873825026530565,0.7873333333333333,0.5324981801117523,0.7228,0.7232569979508197,0.7228
3,0.3501822752031413,0.8551111111111112,0.8551422896876921,0.8551111111111112,0.61823075896577,0.7212,0.7259300860939546,0.7212
4,0.2678077904168855,0.8975555555555556,0.8975607720463227,0.8975555555555556,0.6335041704057138,0.7208,0.7208,0.7208
5,0.2268412244844843,0.9149777777777778,0.915021331781971,0.9149777777777778,0.8084581871575947,0.726,0.7260924799999999,0.726
6,0.18434528726819818,0.9344444444444444,0.934444643240568,0.9344444444444444,0.7732543656720391,0.7096,0.7099694789915966,0.7096
7,0.1581661242115925,0.9452888888888888,0.9453023908536302,0.9452888888888888,0.9676105676195289,0.7108,0.7127300909518135,0.7108
8,0.13568446892366576,0.9538666666666666,0.953869304709863,0.9538666666666666,1.0231444658357887,0.7028,0.7032703821256299,0.7028
9,0.11850957026101903,0.9594666666666667,0.9594666920770824,0.9594666666666667,0.977497948121421,0.714,0.7168611788948539,0.714
10,0.10455786312575749,0.9631111111111111,0.9631116974881818,0.9631111111111111,0.8758347573914106,0.7104,0.7106628397828462,0.7104
