Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6227888683788478,0.6391555555555556,0.639155727904852,0.6391555555555556,0.5878931438621087,0.6828,0.7118912796358104,0.6828
2,0.46141368527473375,0.7864,0.7864248917439115,0.7864,0.6343981046465379,0.7004,0.7262669203099059,0.7004
3,0.3755075758301907,0.8368,0.8368106528096432,0.8368,0.601437050330488,0.7208,0.7245627156336992,0.7208
4,0.312566977920307,0.8709777777777777,0.8709778357658456,0.8709777777777777,0.7312765604333032,0.7032,0.7051490753512578,0.7032
5,0.273083605486053,0.8851111111111111,0.8851137491402357,0.8851111111111111,0.7254352856285965,0.7132,0.7170706673887686,0.7132
6,0.24474243656202982,0.8977777777777778,0.8977782012847035,0.8977777777777778,0.8644212661664697,0.708,0.7142772878137553,0.708
7,0.22505317570705136,0.9088,0.9088299774868172,0.9088,0.8418968836717968,0.7028,0.7062253507428337,0.7028
8,0.20589901522775603,0.9144444444444444,0.9144476542443003,0.9144444444444444,0.7885383522208733,0.708,0.708,0.708
9,0.187323966386347,0.9237333333333333,0.9237341615030701,0.9237333333333333,0.7765241287931611,0.7044,0.7045265300059418,0.7044
10,0.17417639343792954,0.9308888888888889,0.9308904247031909,0.9308888888888889,0.9744494794101655,0.6992,0.6992596000309904,0.6992
