Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6293526180935177,0.6239111111111111,0.625746797827522,0.6239111111111111,0.5539608707156363,0.7188,0.7331484621865575,0.7188
2,0.456566996068101,0.7909777777777778,0.790977994479502,0.7909777777777778,0.532636676030823,0.7444,0.7448589792769128,0.7444
3,0.34255372623870656,0.8578222222222223,0.857823485301325,0.8578222222222223,0.606749077386494,0.7376,0.7417958954315096,0.7376
4,0.26606814996127715,0.8950666666666667,0.8950756991341325,0.8950666666666667,0.7737855824488628,0.7252,0.7329473880203388,0.7252
5,0.2133546267048752,0.9214222222222223,0.9214227687601375,0.9214222222222223,0.7798297133626817,0.73,0.7310448125321007,0.73
6,0.18375863857429728,0.9312,0.9312021759578512,0.9312,0.7690301971345008,0.7232,0.724057496706835,0.7232
7,0.14866843426451934,0.9482666666666667,0.9482691566189532,0.9482666666666667,0.8753273994485035,0.7068,0.7163517275195938,0.7068
8,0.16473502238460985,0.9385333333333333,0.9385818866981268,0.9385333333333333,0.8848466322391848,0.71,0.7127024021352313,0.7100000000000001
9,0.11610319078383989,0.9606222222222223,0.9606258594960579,0.9606222222222223,1.0160932620114917,0.7088,0.7155830479498253,0.7088
10,0.09855761565334185,0.9682666666666667,0.9682710204791134,0.9682666666666667,1.1052970229824888,0.714,0.7143243154615512,0.714
