Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6937190040268681,0.5027111111111111,0.5027450833407633,0.5027111111111111,0.6932318452038343,0.4976,0.24760576,0.4976
2,0.6298439385877415,0.6252888888888889,0.6282861895547556,0.6252888888888889,0.5820430637914923,0.7008,0.7055350016420362,0.7008
3,0.4440914659379897,0.8003555555555556,0.8003635280235988,0.8003555555555556,0.5886476541621776,0.6948,0.7158843528612421,0.6948
4,0.3305667311863296,0.8642222222222222,0.8642486773324205,0.8642222222222222,0.6398135472702074,0.7012,0.7044944311344845,0.7012
5,0.24635175364197825,0.9028444444444444,0.902860614105886,0.9028444444444444,0.7430874022501933,0.7028,0.7060579687985717,0.7028
6,0.198611296514917,0.9256,0.9256162313936004,0.9256,0.7508389172674734,0.7012,0.7035839353535354,0.7012
7,0.16578945632235528,0.9389777777777778,0.9389991971597654,0.9389777777777778,0.94041903675357,0.7024,0.7024514490527394,0.7024
8,0.13304815113819626,0.954,0.9540071660139362,0.954,1.091740433551088,0.6956,0.6972257592833517,0.6956
9,0.11781693390896014,0.9586666666666667,0.9586666772437913,0.9586666666666667,1.1487788761836253,0.6936,0.6966372547793274,0.6936
10,0.09709204909383763,0.9664444444444444,0.9664505746329761,0.9664444444444444,1.1998748100256618,0.702,0.702159775910364,0.702
