Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6271079548380591,0.6307555555555555,0.6319202486878862,0.6307555555555555,0.5450424170946773,0.7264,0.7266928288487983,0.7264
2,0.45037424014034594,0.7957333333333333,0.7957415152415449,0.7957333333333333,0.6034669562985625,0.726,0.7335949262127002,0.726
3,0.33993960419585084,0.8598222222222223,0.8598222222222223,0.8598222222222223,0.5893990314459499,0.7232,0.7234375176970268,0.7232
4,0.2575264748884365,0.8988444444444444,0.8988444444444444,0.8988444444444444,0.7865830120406573,0.7132,0.7169235890700647,0.7132
5,0.20642365284782666,0.9241333333333334,0.9241333491073731,0.9241333333333334,0.8307370526032357,0.7036,0.7045811939729163,0.7036
6,0.1826096704489001,0.9329777777777778,0.9329795267752957,0.9329777777777778,0.7983211935320987,0.7048,0.7048370118350012,0.7048
7,0.14138383146333086,0.9528444444444445,0.9528593685050407,0.9528444444444445,0.9468899712532381,0.7064,0.7064204799999999,0.7064
8,0.12270021236988461,0.9605777777777778,0.9605799899581293,0.9605777777777778,1.0618646515038195,0.7036,0.7058453675755143,0.7036
9,0.11188281571098328,0.9645333333333334,0.9645357562490277,0.9645333333333334,1.1502915677744188,0.7044,0.7046404290265005,0.7044
10,0.10292450812597632,0.9685333333333334,0.9685354179613602,0.9685333333333334,1.1212118969687932,0.7028,0.7028336824120306,0.7028
